"STUSAB","direction","magnitude","number","inputstate","state"
"DC","D",43.39,43.39,11,"District of Columbia"
"VT","D",15.06,15.06,50,"Vermont"
"HI","D",14.55,14.55,15,"Hawaii"
"MA","D",14.2,14.2,25,"Massachusetts"
"MD","D",13.84,13.84,24,"Maryland"
"CA","D",13.83,13.83,6,"California"
"NY","D",10.06,10.06,36,"New York"
"RI","D",7.77,7.77,44,"Rhode Island"
"WA","D",7.67,7.67,53,"Washington"
"IL","D",7.15,7.15,17,"Illinois"
"CT","D",6.97,6.97,9,"Connecticut"
"DE","D",6.12,6.12,10,"Delaware"
"NJ","D",5.99,5.99,34,"New Jersey"
"OR","D",5.54,5.54,41,"Oregon"
"NM","D",3.4,3.4,35,"New Mexico"
"CO","D",3.12,3.12,8,"Colorado"
"VA","D",2.3,2.3,51,"Virginia"
"ME","D",1.45,1.45,23,"Maine"
"MN","D",0.55,0.55,27,"Minnesota"
"NH","D",0.28,0.28,33,"New Hampshire"
"NV","R",0.43,-0.43,32,"Nevada"
"MI","R",1.04,-1.04,26,"Michigan"
"PA","R",1.58,-1.58,42,"Pennsylvania"
"WI","R",1.73,-1.73,55,"Wisconsin"
"AZ","R",2.56,-2.56,4,"Arizona"
"FL","R",2.85,-2.85,12,"Florida"
"GA","R",2.96,-2.96,13,"Georgia"
"NC","R",2.98,-2.98,37,"North Carolina"
"TX","R",5.46,-5.46,48,"Texas"
"OH","R",5.86,-5.86,39,"Ohio"
"IA","R",6.31,-6.31,19,"Iowa"
"SC","R",8.38,-8.38,45,"South Carolina"
"AK","R",8.51,-8.51,2,"Alaska"
"MS","R",10.42,-10.42,28,"Mississippi"
"MO","R",10.51,-10.51,29,"Missouri"
"IN","R",10.78,-10.78,18,"Indiana"
"KS","R",10.99,-10.99,20,"Kansas"
"MT","R",11.44,-11.44,30,"Montana"
"LA","R",11.51,-11.51,22,"Louisiana"
"UT","R",13.22,-13.22,49,"Utah"
"NE","R",13.35,-13.35,31,"Nebraska"
"TN","R",14.41,-14.41,47,"Tennessee"
"AL","R",15.33,-15.33,1,"Alabama"
"AR","R",15.94,-15.94,5,"Arkansas"
"KY","R",16.12,-16.12,21,"Kentucky"
"SD","R",16.39,-16.39,46,"South Dakota"
"ID","R",18.78,-18.78,16,"Idaho"
"OK","R",19.81,-19.81,40,"Oklahoma"
"ND","R",20.2,-20.2,38,"North Dakota"
"WV","R",22.67,-22.67,54,"West Virginia"
"WY","R",25.78,-25.78,56,"Wyoming"
